"#","Titolo","Perché fa per te","Difficoltà°°","Skill richieste","Guadagno mensile","Tempo","Tipo attività","Prompt Effettivo"
"1","Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane usando React + Spring Boot, risolvendo problemi specifici di nicchie piccole ma disposte a pagare (es. tracker per collezionisti, gestionali per piccoli business locali)","Crei un tracker per collezionisti di carte Magic (tua nicchia!) con feature premium a 5€/mese","Avanzato","Java, React, Spring","100-300€","10-14 giorni","Micro-SaaS","Sei un esperto di micro-SaaS. Analizza le mie skill (React, Spring Boot, Java) e i miei interessi (Magic: The Gathering, gaming, collezionismo). Genera 20 idee di micro-SaaS che posso costruire in 1-2 settimane, risolvendo problemi specifici di nicchie piccole ma disposte a pagare. Per ogni idea specifica: problema risolto, feature essenziali, pricing consigliato, come trovare i primi 10 clienti."
"14","Scrivi 10 script di web scraping etico per dati pubblici (es. prezzi e-commerce, disponibilità prodotti) e offri servizio su Fiverr","Servizio 'Monitoraggio prezzi competitor' a 40€/setup","Intermedio","Java, JS","70-200€","3-4 giorni","Freelancing","Sei un esperto di web scraping. Identifica 10 scenari dove le aziende hanno bisogno di scraping (monitor prezzi, disponibilità prodotti, aggregazione dati). Per ognuno scrivi uno script Java/Python etico, con rate limiting e rispetto robots.txt. Crea la pagina Fiverr: titolo ('Web Scraping Etico'), servizi offerti, pricing (40-80€ a script), delivery time."
"15","Crea 20 template di email cold outreach per sviluppatori freelance (proposte a aziende, follow-up, pricing) e vendili su Gumroad","Template pack 'Freelance Outreach', venduto a 6€","Principiante","writing","30-90€","1-2 giorni","Prodotti digitali","Sei un copywriter esperto in freelance. Scrivi 20 template di email per sviluppatori freelance (cold outreach, proposta dopo call, follow-up, invio preventivo, negoziazione, richiesta referral). Per ogni template: quando usarlo, oggetto, corpo email, CTA. Organizza in pacchetti (es. 'Freelance Email Pack'). Crea la pagina Gumroad: titolo, descrizione, prezzo (6€), anteprima 5 template."
"16","Genera 15 idee di tool online gratuiti con monetizzazione ads/affiliate (es. calcolatori, converter, generatori)","Tool 'Calcolatore ROI campagne ads' con affiliate hosting","Intermedio","React, JS","50-150€","4-6 giorni","Micro-SaaS","Sei un esperto di tool online. Trova 15 idee di tool gratuiti utili (calcolatori, converter, generatori, validatori). Per ogni idea: cosa fa, target utenti, come monetizzare (Google Ads, affiliate link a tool correlati). Scegli le 3 migliori e scrivi il codice React completo del tool, responsive e pronto per il deploy."
"17","Scrivi 10 guide 'Come ho guadagnato X€ con Y' basate su casi reali di side hustle tech e pubblicale su Substack a pagamento","Guida '100€ con template React', subscription 3€/mese","Intermedio","writing","40-120€","2-3 giorni","Content","Sei un technical writer. Identifica 10 side hustle tech reali (template, corsi, consulenza, automazione). Per ognuno scrivi una guida dettagliata: contesto, step seguiti, guadagni, errori, lesson learned. Formato: 2000-3000 parole, screenshot, numeri reali. Crea la pagina Substack: titolo, descrizione, pricing (subscription 3€/mese o pay-per-guide 5€)."
"18","Crea 20 snippet CSS pronti per UI components (es. card products, navbar responsive, form styling) e vendili come libreria","Pacchetto '50 UI Components CSS', venduto a 8€","Intermedio","CSS, React","40-110€","3-4 giorni","Prodotti digitali","Sei un CSS expert. Crea 20 snippet CSS per UI components comuni (card, navbar, form, modal, table, button, badge). Per ognuno: codice CSS completo, variante dark mode, responsive. Organizza in una libreria unica. Crea la pagina Gumroad: titolo ('CSS UI Components Library'), descrizione, prezzo (8€), demo live, anteprima 5 components."
"19","Genera 15 idee di plugin WordPress semplici (es. custom post type, shortcode utility, integration API) e vendili su CodeCanyon","Plugin 'Custom Game Inventory' per siti gaming, venduto a 15€","Intermedio","Java, JS, PHP base","60-180€","5-7 giorni","Micro-SaaS","Sei un esperto WordPress. Trova 15 idee di plugin semplici ma utili (custom post type, shortcode, integration API, widget). Per ogni idea: cosa fa, target, pricing su CodeCanyon (15-25€). Scegli le 3 migliori e scrivi il codice PHP completo del plugin, pronto per upload su CodeCanyon con documentazione."
"20","Scrivi 10 script di automazione per social media (es. auto-post scheduling, hashtag generator, analytics exporter) e offri servizio","Servizio 'Auto-post Instagram per business locali' a 35€/mese","Intermedio","JS, Python","70-200€","3-5 giorni","Automazione","Sei un esperto di automazione social. Identifica 10 task social ripetitivi per business (scheduling post, hashtag research, analytics, cross-posting). Per ognuno scrivi uno script Python/JS completo. Crea la pagina Fiverr/Upwork: titolo ('Automazione Social Media'), servizi, pricing (35-60€ a script o 35€/mese per gestione), delivery."
"21","Crea 20 template di README.md professionali per repo GitHub e vendili come pacchetto per sviluppatori","Pacchetto 'README Templates Pro', venduto a 5€","Principiante","Git, writing","25-70€","1 giorno","Prodotti digitali","Sei un technical writer. Scrivi 20 template di README.md per diversi tipi di progetto (libreria, app, API, CLI tool, corso, portfolio). Per ognuno: struttura sezioni, badge, screenshot placeholder, esempi codice. Organizza in un pacchetto. Crea la pagina Gumroad: titolo ('README Templates Pro'), descrizione, prezzo (5€), anteprima 5 template."
"22","Genera 15 idee di dashboard React per nicchie specifiche (es. tracker investimenti, monitor server, analytics personali)","Dashboard 'MTG Collection Tracker' con premium a 4€/mese","Intermedio","React, JS","50-150€","5-7 giorni","Micro-SaaS","Sei un esperto di dashboard. Trova 15 nicchie che hanno bisogno di dashboard (investimenti, fitness, gaming, server monitoring, progetti). Per ogni idea: dati da mostrare, feature essenziali, come monetizzare (freemium, premium 4-8€/mese). Scegli le 3 migliori e scrivi il codice React completo della dashboard con chart e responsive design."
"23","Scrivi 10 script Java per elaborazione batch di file (es. convertitori, validatori, bulk processor) e vendili su Gumroad","Script 'Bulk Image Converter + Watermark', venduto a 7€","Intermedio","Java","35-100€","2-3 giorni","Automazione","Sei un developer Java. Identifica 10 scenari di elaborazione batch (converti immagini, valida CSV, bulk rename, estrai dati). Per ognuno scrivi uno script Java completo, da riga di comando, con gestione errori. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Java Batch Scripts'), descrizione, prezzo (7€ per script o 25€ bundle), istruzioni uso."
"24","Crea 20 idee di challenge/corsi di 7 giorni per sviluppatori (es. '7 giorni di Spring Boot', 'React in una settimana') e vendili","Corso '7 Giorni di Roguelike in Java' a 12€","Intermedio","Java, writing","60-180€","4-6 giorni","Content","Sei un instructional designer. Genera 20 idee di challenge di 7 giorni per sviluppatori (impara X in 7 giorni, build Y in 7 giorni). Per ogni idea: giorno 1-7 cosa si fa, deliverable finale, prezzo (12-18€). Scegli le 3 migliori e scrivi il piano dettagliato del corso: email giornaliere, task, risorse, progetto finale."
"25","Genera 15 template di contratti/freelance agreement per sviluppatori italiani e vendili su Gumroad","Pacchetto 'Contratti Freelance Dev IT', venduto a 9€","Intermedio","writing","40-120€","2-3 giorni","Prodotti digitali","Sei un legale esperto in freelance tech. Scrivi 15 template di contratti per sviluppatori italiani (preventivo, accordo NDA, contratto progetto, termini pagamento, proprietà intellettuale). Per ognuno: clausole essenziali, note legali, quando usarlo. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (9€), disclaimer legale."
"26","Scrivi 10 script di monitoring per server/app (es. uptime checker, alert Telegram, log analyzer) e offri setup a pagamento","Servizio 'Monitor Uptime con Alert' a 20€/setup + 5€/mese","Intermedio","Java, Spring, Docker","50-150€","3-4 giorni","Freelancing","Sei un DevOps engineer. Identifica 10 metriche da monitorare (uptime, CPU, memoria, errori, log). Per ognuna scrivi uno script Java/Python completo con alert Telegram/Email. Crea la pagina Fiverr: titolo ('Setup Monitoring Server'), servizi, pricing (20€ setup + 5€/mese gestione), delivery time."
"27","Crea 20 snippet di configurazione Docker per app comuni (es. Node + Postgres, React + Nginx, Spring + MySQL) e vendili","Pacchetto 'Docker Quick Start', venduto a 6€","Principiante","Docker, YAML","30-90€","2 giorni","Prodotti digitali","Sei un Docker expert. Scrivi 20 configurazioni Docker per stack comuni (Node+Postgres, React+Nginx, Spring+MySQL, Python+Redis). Per ognuno: Dockerfile, docker-compose.yml, istruzioni. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Docker Quick Start Pack'), descrizione, prezzo (6€), anteprima 5 stack."
"28","Genera 15 idee di app mobile semplici (es. tracker abitudini, calcolatori, utility) costruibili con React Native e monetizzabili con ads","App 'Daily Coding Challenge' con ads, 500 download/mese","Avanzato","React, JS","40-120€","7-10 giorni","Micro-SaaS","Sei un esperto di app mobile. Trova 15 idee di app semplici ma utili (tracker, calcolatori, utility, mini-game). Per ogni idea: feature essenziali, come monetizzare (Google Ads, in-app), potenziale download. Scegli le 3 migliori e scrivi il codice React Native completo dell'app, pronto per publish su Play Store."
"29","Scrivi 10 guide tecniche 'Come costruire X in 1 ora' e pubblicale su Medium Partner Program","Guida 'API REST in 60 min con Spring', earnings da views","Principiante","Java, Spring, writing","30-100€","1-2 giorni","Content","Sei un technical writer. Genera 10 titoli di guide 'Costruisci X in 1 ora' (API REST, Chrome extension, Discord bot, landing page). Per ognuna scrivi la guida completa: intro, step 1-5, codice, conclusioni. Formato: 1500-2000 parole, screenshot. Pubblica su Medium con paywall per guadagnare dalle views."
"30","Crea 20 template di portfolio per sviluppatori (React + Vite) e vendili su ThemeForest o Gumroad","Template 'Dev Portfolio Minimal', venduto a 11€","Intermedio","React, CSS","50-150€","4-5 giorni","Prodotti digitali","Sei un designer di portfolio. Crea 20 concept di portfolio per sviluppatori (minimal, dark mode, creative, corporate). Per ognuno: struttura sezioni, colori, animazioni. Scegli i 3 migliori e scrivi il codice React + Vite completo, responsive e pronto per vendere su ThemeForest a 11-15€."
"31","Genera 15 idee di bot Telegram per utility (es. reminder, tracker, converter) e offri customizzazione a pagamento","Bot 'Expense Tracker Telegram', setup a 30€","Intermedio","Java, Spring","50-150€","3-4 giorni","Automazione","Sei un esperto di bot Telegram. Trova 15 utility che gli utenti cercano (reminder, expense tracker, converter, news, weather). Per ogni idea: comandi, feature, come monetizzare (setup 30€, premium 5€/mese). Scegli le 3 migliori e scrivi il codice Java/Spring completo del bot con istruzioni deploy."
"32","Scrivi 10 script di backup automatizzato (es. database, file, repo GitHub) e vendili come soluzione pronta","Script 'Auto Backup GitHub + Drive', venduto a 8€","Intermedio","Bash, Git","35-100€","2-3 giorni","Automazione","Sei un sysadmin esperto. Identifica 10 scenari di backup (database MySQL/Postgres, file server, repo GitHub, cloud sync). Per ognuno scrivi uno script Bash/Python completo, con scheduling cron, logging, alert. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (8€ a script o 30€ bundle), istruzioni."
"33","Crea 20 idee di micro-consulenze (30 min) su skill specifiche (es. 'Debugga il tuo Spring Boot', 'Ottimizza React App') e vendile su Fiverr","Sessione 'Code Review Spring Boot' a 25€","Intermedio","Java, Spring","60-180€","1 giorno setup","Freelancing","Sei un consulente tech. Identifica 20 micro-consulenze da 30 min che puoi offrire (debug Spring, ottimizza React, review codice, setup Docker, CI/CD). Per ognuna: cosa fai nella sessione, deliverable, pricing (25-40€). Crea la pagina Fiverr: titolo ('Micro-Consulenze Dev'), lista servizi, pricing, booking calendar."
"34","Genera 15 template di presentazione pitch per startup/progetti tech e vendili su Gumroad","Pacchetto 'Pitch Deck Tech Startup', venduto a 7€","Intermedio","writing","30-90€","1-2 giorni","Prodotti digitali","Sei un esperto di pitch deck. Crea 15 template di presentazione per startup tech (investor pitch, customer demo, hackathon, grant application). Per ognuno: struttura slide (10-12 slide), contenuto tipo, design notes. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (7€), anteprima 3 template."
"35","Scrivi 10 script di automazione per testing (es. auto-genera test JUnit, Selenium setup) e offri servizio","Servizio 'Setup Test Suite per tua App' a 40€","Intermedio","Java, JUnit","50-150€","3-4 giorni","Freelancing","Sei un QA engineer esperto. Identifica 10 task di testing ripetitivi (genera test JUnit, setup Selenium, coverage report, integration test). Per ognuno scrivi uno script Java/Python completo. Crea la pagina Fiverr: titolo ('Automazione Testing'), servizi, pricing (40-70€ a setup), delivery time."
"36","Crea 20 snippet di utility JavaScript per sviluppatori (es. form validator, date formatter, API helper) e vendili come libreria","Pacchetto 'JS Utility Belt', venduto a 6€","Principiante","JS","30-80€","2 giorni","Prodotti digitali","Sei un JS expert. Scrivi 20 snippet di utility JS comuni (form validation, date formatting, debounce, API fetch wrapper, localStorage helper). Per ognuno: codice, esempi uso, test. Organizza in una libreria unica. Crea la pagina Gumroad: titolo ('JS Utility Belt'), descrizione, prezzo (6€), demo, anteprima 5 utility."
"37","Genera 15 idee di newsletter tecniche a pagamento (es. 'Spring Tips settimanali', 'React Patterns') su Substack/Beehiiv","Newsletter 'Java Weekly Tips', subscription 4€/mese","Intermedio","Java, writing","50-150€","3-5 giorni setup","Content","Sei un content strategist. Trova 15 nicchie per newsletter tecniche a pagamento (Spring tips, React patterns, DevOps weekly, AI for devs). Per ogni idea: target, frequenza, contenuto tipo, pricing (3-8€/mese). Scegli le 3 migliori e scrivi i primi 3 numeri della newsletter, pronto per lanciare su Substack."
"38","Scrivi 10 guide 'Errori comuni in X e come risolverli' (es. Spring Security, React state) e monetizza con affiliate","Guida '10 Errori Spring + Fix', affiliate corsi","Principiante","Java, Spring, writing","30-100€","2 giorni","Content","Sei un technical writer. Identifica 10 argomenti con molti errori comuni (Spring Security, React hooks, Docker, Git). Per ognuno scrivi una guida: errore, causa, fix, best practice. Formato: 1500 parole, screenshot, snippet codice. Inserisci affiliate link a corsi correlati. Pubblica su Medium/Dev.to."
"39","Crea 20 template di issue/PR per GitHub e vendili come pacchetto per team di sviluppo","Pacchetto 'GitHub Workflow Templates', venduto a 5€","Principiante","Git, writing","25-70€","1 giorno","Prodotti digitali","Sei un esperto di GitHub. Scrivi 20 template per issue e PR (bug report, feature request, hotfix, release, documentation). Per ognuno: struttura, campi obbligatori, checklist. Organizza in un pacchetto. Crea la pagina Gumroad: titolo ('GitHub Workflow Templates'), descrizione, prezzo (5€), anteprima 5 template."
"40","Genera 15 idee di tool CLI utili per sviluppatori (es. project generator, file organizer, git helper) e vendili","Tool 'Spring Project Scaffold CLI', venduto a 8€","Intermedio","Java, Bash","40-120€","3-4 giorni","Micro-SaaS","Sei un CLI expert. Trova 15 idee di tool CLI che semplificano la vita ai developer (scaffold progetti, organizza file, git helper, code formatter). Per ogni idea: cosa fa, comandi, come monetizzare (vendita diretta 8€, donation). Scegli le 3 migliori e scrivi il codice Java/Bash completo, pronto per publish su npm/GitHub."
"41","Scrivi 10 script di migrazione database (es. MySQL → Postgres, backup/restore automatizzati) e offri servizio","Servizio 'Migrazione DB con zero downtime' a 50€","Intermedio","Java, Spring","60-180€","4-5 giorni","Freelancing","Sei un DBA esperto. Identifica 10 scenari di migrazione (MySQL→Postgres, SQLite→MySQL, backup automatizzato, restore). Per ognuno scrivi uno script Java/Python completo, con gestione errori, logging. Crea la pagina Fiverr: titolo ('Migrazione Database'), servizi, pricing (50-100€ a migrazione), delivery."
"42","Crea 20 idee di landing page per prodotti digitali di sviluppatori e offri design+dev a pagamento","Servizio 'Landing Page per tuo SaaS' a 80€","Intermedio","React, CSS","80-240€","3-5 giorni","Freelancing","Sei un designer di landing page. Trova 20 tipi di prodotti digitali per developer (corsi, template, SaaS, ebook, tool). Per ognuno: struttura landing (hero, features, pricing, testimonial, CTA), copy tipo. Crea la pagina Fiverr/Upwork: titolo ('Landing Page per Prodotti Digitali'), portfolio mockup, pricing (80-150€), delivery."
"43","Genera 15 template di documentazione tecnica (API docs, README avanzato, user guide) e vendili","Pacchetto 'Tech Documentation Pack', venduto a 7€","Principiante","writing","35-100€","2 giorni","Prodotti digitali","Sei un technical writer. Scrivi 15 template di documentazione (API reference, README completo, user guide, changelog, architecture doc). Per ognuno: struttura sezioni, esempi contenuto, best practice. Organizza in un pacchetto. Crea la pagina Gumroad: titolo ('Tech Documentation Pack'), descrizione, prezzo (7€), anteprima 3 template."
"44","Scrivi 10 script di ottimizzazione immagini (es. bulk compress, format converter, watermark) e vendili su Gumroad","Script 'Bulk Image Optimizer', venduto a 6€","Intermedio","Java","30-90€","2-3 giorni","Automazione","Sei un developer Java. Identifica 10 task di ottimizzazione immagini (bulk compress, converti formato, watermark, resize, crop). Per ognuno scrivi uno script Java completo, da riga di comando. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('Image Optimization Scripts'), descrizione, prezzo (6€ a script o 20€ bundle), istruzioni."
"45","Crea 20 idee di webinar gratuiti con upsell di consulenza/corsi (es. 'Intro a Spring Boot' → corso completo)","Webinar 'Spring in 1 ora', upsell corso 20€","Intermedio","Java, Spring, writing","50-150€","4-6 giorni","Content","Sei un webinar strategist. Genera 20 idee di webinar gratuiti per developer (intro a framework, best practice, live coding). Per ognuno: titolo, struttura (60 min: 40 min contenuto + 20 min Q&A + upsell), cosa vendere dopo (corso 20€, consulenza 50€). Scegli le 3 migliori e scrivi la slide deck completa del webinar."
"46","Genera 15 snippet di configurazione CI/CD (GitHub Actions, GitLab CI) per stack comuni e vendili","Pacchetto 'CI/CD Ready Templates', venduto a 8€","Intermedio","Git, YAML, Docker","40-120€","2-3 giorni","Prodotti digitali","Sei un DevOps expert. Scrivi 15 configurazioni CI/CD per stack comuni (Java+Maven, Node+NPM, Python+pytest, Docker build). Per ognuno: file YAML completo, spiegazione step, varianti. Organizza in pacchetti. Crea la pagina Gumroad: titolo ('CI/CD Ready Templates'), descrizione, prezzo (8€), anteprima 3 stack."
"47","Scrivi 10 guide 'Come ho automatizzato X risparmiando Y ore' e pubblicale su Medium/Substack","Guida 'Auto-deploy con GitHub Actions', subscription","Principiante","Git, writing","30-100€","2 giorni","Content","Sei un technical writer. Identifica 10 automazioni reali (deploy automatico, backup, testing, reporting). Per ognuna scrivi una guida: problema, soluzione, step, tempo risparmiato, codice. Formato: 2000 parole, screenshot, snippet. Pubblica su Medium/Substack per guadagnare da subscription o pay-per-article."
"48","Crea 20 template di invoice/fatture per freelance italiani e vendili su Gumroad","Pacchetto 'Fatture Freelance Dev', venduto a 5€","Principiante","writing","25-70€","1 giorno","Prodotti digitali","Sei un commercialista esperto in freelance. Scrivi 20 template di fattura per developer italiani (progetto, ore, pacchetto, rimborso spese, acconto, saldo). Per ognuno: campi obbligatori, note legali, esempio compilato. Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (5€), disclaimer fiscale."
"49","Genera 15 idee di app browser extension per produttività sviluppatori (es. snippet manager, docs quick search)","Extension 'Spring Docs Quick Search', donazioni","Intermedio","JS","40-120€","4-6 giorni","Micro-SaaS","Sei un esperto di extension. Trova 15 idee di extension per developer (snippet manager, docs search, color picker, JSON formatter, API tester). Per ogni idea: feature, target, come monetizzare (donazioni, premium). Scegli le 3 migliori e scrivi il codice completo dell'extension (manifest.json, popup, background)."
"50","Scrivi 10 script di analisi log (es. error pattern detector, performance analyzer) e offri servizio","Servizio 'Analisi Log per tua App' a 35€","Intermedio","Java","50-150€","3-4 giorni","Freelancing","Sei un log analysis expert. Identifica 10 scenari di analisi log (error pattern, performance bottleneck, security audit, usage stats). Per ognuno scrivi uno script Java/Python completo. Crea la pagina Fiverr: titolo ('Analisi Log Applicazione'), servizi, pricing (35-70€ ad analisi), delivery time."
"51","Crea 20 idee di challenge 'Build in Public' con monetizzazione (sponsors, donazioni, premium updates)","Challenge '30 giorni di Spring', sponsors 100€","Principiante","Java, writing","60-180€","1 giorno setup","Content","Sei un content strategist. Genera 20 idee di challenge 'Build in Public' (30 giorni di codice, 7 giorni di deploy, 14 giorni di refactoring). Per ognuna: struttura, piattaforma (Twitter, LinkedIn, YouTube), come monetizzare (sponsor 100€, donazioni, premium updates). Scegli le 3 migliori e scrivi il piano di contenuti per 30 giorni."
"52","Genera 15 template di roadmap prodotto per startup tech e vendili su Gumroad","Pacchetto 'Product Roadmap Templates', venduto a 7€","Intermedio","writing","30-90€","1-2 giorni","Prodotti digitali","Sei un product manager. Scrivi 15 template di roadmap prodotto (quarterly, milestone-based, feature-based, OKR-driven). Per ognuno: struttura, sezioni, esempi contenuto, tool consigliati (Notion, Excel). Organizza in pacchetti. Crea la pagina Gumroad: titolo, descrizione, prezzo (7€), anteprima 3 template."
